id;utc_offset;preset
UTC;+00:00;0
Pacific/Midway;-11:00;0
Pacific/Niue;-11:00;0
Pacific/Pago_Pago;-11:00;0
Pacific/Honolulu;-10:00;0
Pacific/Rarotonga;-10:00;0
Pacific/Tahiti;-10:00;0
Pacific/Marquesas;-09:30;0
America/Adak;-09:00;0
Pacific/Gambier;-09:00;0
America/Anchorage;-08:00;0
America/Juneau;-08:00;0
America/Metlakatla;-08:00;0
America/Nome;-08:00;0
America/Sitka;-08:00;0
America/Yakutat;-08:00;0
Pacific/Pitcairn;-08:00;0
America/Los_Angeles;-07:00;0
America/Tijuana;-07:00;0
America/Vancouver;-07:00;0
America/Creston;-07:00;0
America/Dawson;-07:00;0
America/Dawson_Creek;-07:00;0
America/Fort_Nelson;-07:00;0
America/Hermosillo;-07:00;0
America/Mazatlan;-07:00;0
America/Phoenix;-07:00;0
America/Whitehorse;-07:00;0
America/Boise;-06:00;0
America/Cambridge_Bay;-06:00;0
America/Chihuahua;-06:00;0
America/Denver;-06:00;0
America/Edmonton;-06:00;0
America/Inuvik;-06:00;0
America/Yellowknife;-06:00;0
America/Bahia_Banderas;-06:00;0
America/Belize;-06:00;0
America/Costa_Rica;-06:00;0
America/El_Salvador;-06:00;0
America/Guatemala;-06:00;0
America/Managua;-06:00;0
America/Merida;-06:00;0
America/Mexico_City;-06:00;0
America/Monterrey;-06:00;0
America/Regina;-06:00;0
America/Swift_Current;-06:00;0
America/Tegucigalpa;-06:00;0
Pacific/Easter;-06:00;0
Pacific/Galapagos;-06:00;0
America/Ojinaga;-05:00;0
America/Chicago;-05:00;0
America/Indiana/Knox;-05:00;0
America/Indiana/Tell_City;-05:00;0
America/Matamoros;-05:00;0
America/Menominee;-05:00;0
America/North_Dakota/Beulah;-05:00;0
America/North_Dakota/Center;-05:00;0
America/North_Dakota/New_Salem;-05:00;0
America/Rainy_River;-05:00;0
America/Rankin_Inlet;-05:00;0
America/Resolute;-05:00;0
America/Winnipeg;-05:00;0
America/Atikokan;-05:00;0
America/Bogota;-05:00;0
America/Cancun;-05:00;0
America/Cayman;-05:00;0
America/Eirunepe;-05:00;0
America/Guayaquil;-05:00;0
America/Jamaica;-05:00;0
America/Lima;-05:00;0
America/Panama;-05:00;0
America/Rio_Branco;-05:00;0
America/Detroit;-04:00;0
America/Grand_Turk;-04:00;0
America/Havana;-04:00;0
America/Indiana/Indianapolis;-04:00;0
America/Indiana/Marengo;-04:00;0
America/Indiana/Petersburg;-04:00;0
America/Indiana/Vevay;-04:00;0
America/Indiana/Vincennes;-04:00;0
America/Indiana/Winamac;-04:00;0
America/Iqaluit;-04:00;0
America/Kentucky/Louisville;-04:00;0
America/Kentucky/Monticello;-04:00;0
America/Nassau;-04:00;0
America/New_York;-04:00;0
America/Nipigon;-04:00;0
America/Pangnirtung;-04:00;0
America/Port-au-Prince;-04:00;0
America/Thunder_Bay;-04:00;0
America/Toronto;-04:00;0
America/Anguilla;-04:00;0
America/Antigua;-04:00;0
America/Aruba;-04:00;0
America/Barbados;-04:00;0
America/Blanc-Sablon;-04:00;0
America/Boa_Vista;-04:00;0
America/Campo_Grande;-04:00;0
America/Caracas;-04:00;0
America/Cuiaba;-04:00;0
America/Curacao;-04:00;0
America/Dominica;-04:00;0
America/Grenada;-04:00;0
America/Guadeloupe;-04:00;0
America/Guyana;-04:00;0
America/Kralendijk;-04:00;0
America/La_Paz;-04:00;0
America/Lower_Princes;-04:00;0
America/Manaus;-04:00;0
America/Marigot;-04:00;0
America/Martinique;-04:00;0
America/Montserrat;-04:00;0
America/Porto_Velho;-04:00;0
America/Port_of_Spain;-04:00;0
America/Puerto_Rico;-04:00;0
America/Santiago;-04:00;0
America/Santo_Domingo;-04:00;0
America/St_Barthelemy;-04:00;0
America/St_Kitts;-04:00;0
America/St_Lucia;-04:00;0
America/St_Thomas;-04:00;0
America/St_Vincent;-04:00;0
America/Tortola;-04:00;0
America/Asuncion;-03:00;0
America/Glace_Bay;-03:00;0
America/Goose_Bay;-03:00;0
America/Halifax;-03:00;0
America/Moncton;-03:00;0
America/Thule;-03:00;0
Atlantic/Bermuda;-03:00;0
America/Araguaina;-03:00;0
America/Argentina/Buenos_Aires;-03:00;0
America/Argentina/Catamarca;-03:00;0
America/Argentina/Cordoba;-03:00;0
America/Argentina/Jujuy;-03:00;0
America/Argentina/La_Rioja;-03:00;0
America/Argentina/Mendoza;-03:00;0
America/Argentina/Rio_Gallegos;-03:00;0
America/Argentina/Salta;-03:00;0
America/Argentina/San_Juan;-03:00;0
America/Argentina/San_Luis;-03:00;0
America/Argentina/Tucuman;-03:00;0
America/Argentina/Ushuaia;-03:00;0
America/Bahia;-03:00;0
America/Belem;-03:00;0
America/Cayenne;-03:00;0
America/Fortaleza;-03:00;0
America/Maceio;-03:00;0
America/Montevideo;-03:00;0
America/Paramaribo;-03:00;0
America/Punta_Arenas;-03:00;0
America/Recife;-03:00;0
America/Santarem;-03:00;0
America/Sao_Paulo;-03:00;0
Antarctica/Palmer;-03:00;0
Antarctica/Rothera;-03:00;0
Atlantic/Stanley;-03:00;0
America/St_Johns;-02:30;0
America/Miquelon;-02:00;0
America/Noronha;-02:00;0
Atlantic/South_Georgia;-02:00;0
America/Godthab;-01:00;0
America/Scoresbysund;-01:00;0
Atlantic/Cape_Verde;-01:00;0
Atlantic/Azores;+00:00;0
Africa/Abidjan;+00:00;0
Africa/Accra;+00:00;0
Africa/Bamako;+00:00;0
Africa/Banjul;+00:00;0
Africa/Bissau;+00:00;0
Africa/Conakry;+00:00;0
Africa/Dakar;+00:00;0
Africa/Freetown;+00:00;0
Africa/Lome;+00:00;0
Africa/Monrovia;+00:00;0
Africa/Nouakchott;+00:00;0
Africa/Ouagadougou;+00:00;0
Africa/Sao_Tome;+00:00;0
America/Danmarkshavn;+00:00;0
Atlantic/Reykjavik;+00:00;0
Atlantic/St_Helena;+00:00;0
Africa/Casablanca;+01:00;0
Africa/El_Aaiun;+01:00;0
Atlantic/Canary;+01:00;0
Atlantic/Faroe;+01:00;0
Atlantic/Madeira;+01:00;0
Europe/Dublin;+01:00;0
Europe/Guernsey;+01:00;0
Europe/Isle_of_Man;+01:00;0
Europe/Jersey;+01:00;0
Europe/Lisbon;+01:00;0
Europe/London;+01:00;0
Africa/Algiers;+01:00;0
Africa/Bangui;+01:00;0
Africa/Brazzaville;+01:00;0
Africa/Douala;+01:00;0
Africa/Kinshasa;+01:00;0
Africa/Lagos;+01:00;0
Africa/Libreville;+01:00;0
Africa/Luanda;+01:00;0
Africa/Malabo;+01:00;0
Africa/Ndjamena;+01:00;0
Africa/Niamey;+01:00;0
Africa/Porto-Novo;+01:00;0
Africa/Tunis;+01:00;0
Antarctica/Troll;+02:00;0
Africa/Ceuta;+02:00;0
